SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,203932,0022301193,"Apr 14, 2024",DEN @ MEM,W,26,4,6,0.667,0,1,0.0,7,8,0.875,3,2,5,5,0,1,1,2,15,25,1
22023,203932,0022301180,"Apr 12, 2024",DEN @ SAS,L,29,6,6,1.0,1,1,1.0,0,0,0.0,2,2,4,4,1,0,0,1,13,1,1
22023,203932,0022301164,"Apr 10, 2024",DEN vs. MIN,W,28,2,7,0.286,0,2,0.0,1,2,0.5,1,4,5,9,1,0,2,0,5,9,1
22023,203932,0022301114,"Apr 04, 2024",DEN @ LAC,L,36,5,10,0.5,0,2,0.0,8,14,0.571,2,4,6,7,1,2,1,4,18,1,1
22023,203932,0022301099,"Apr 02, 2024",DEN vs. SAS,W,33,9,12,0.75,2,4,0.5,3,3,1.0,2,5,7,4,1,1,0,3,23,11,1
22023,203932,0022301077,"Mar 31, 2024",DEN vs. CLE,W,29,3,7,0.429,1,3,0.333,1,2,0.5,3,5,8,5,1,0,2,3,8,18,1
22023,203932,0022301071,"Mar 29, 2024",DEN vs. MIN,L,31,5,9,0.556,2,4,0.5,2,4,0.5,1,6,7,4,0,0,4,4,14,-5,1
22023,203932,0022301059,"Mar 27, 2024",DEN vs. PHX,L,36,7,14,0.5,1,3,0.333,3,3,1.0,2,4,6,2,0,0,2,2,18,6,1
22023,203932,0022301026,"Mar 23, 2024",DEN @ POR,W,37,8,21,0.381,0,2,0.0,6,8,0.75,8,4,12,5,0,3,1,0,22,-6,1
22023,203932,0022301009,"Mar 21, 2024",DEN vs. NYK,W,35,5,9,0.556,0,0,0.0,0,1,0.0,3,1,4,8,1,0,0,1,10,22,1
