SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,203076,0022301195,"Apr 14, 2024",LAL @ NOP,W,33,13,17,0.765,0,1,0.0,4,4,1.0,4,7,11,3,2,0,3,4,30,15,1
22023,203076,0022301177,"Apr 12, 2024",LAL @ MEM,W,43,11,22,0.5,1,6,0.167,13,17,0.765,4,10,14,5,1,2,4,2,36,2,1
22023,203076,0022301143,"Apr 07, 2024",LAL vs. MIN,L,12,2,6,0.333,0,0,0.0,0,0,0.0,3,1,4,3,2,0,1,2,4,4,1
22023,203076,0022301127,"Apr 06, 2024",LAL vs. CLE,W,36,7,11,0.636,1,1,1.0,7,9,0.778,4,9,13,4,3,6,0,2,22,8,1
22023,203076,0022301103,"Apr 03, 2024",LAL @ WAS,W,38,10,17,0.588,0,1,0.0,15,15,1.0,3,15,18,1,2,3,2,1,35,29,1
22023,203076,0022301094,"Apr 02, 2024",LAL @ TOR,W,28,10,20,0.5,0,4,0.0,1,4,0.25,2,10,12,1,0,0,5,3,21,14,1
22023,203076,0022301078,"Mar 31, 2024",LAL @ BKN,W,35,9,12,0.75,1,3,0.333,5,6,0.833,1,13,14,0,0,3,4,3,24,18,1
22023,203076,0022301063,"Mar 29, 2024",LAL @ IND,L,38,9,17,0.529,0,1,0.0,6,7,0.857,4,11,15,3,0,0,3,0,24,-12,1
22023,203076,0022301045,"Mar 26, 2024",LAL @ MIL,W,52,12,31,0.387,3,8,0.375,7,7,1.0,7,16,23,2,2,4,4,1,34,1,1
22023,203076,0022301032,"Mar 24, 2024",LAL vs. IND,W,40,15,21,0.714,1,2,0.5,5,5,1.0,3,13,16,3,2,1,2,4,36,11,1
