SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1630559,0022301195,"Apr 14, 2024",LAL @ NOP,W,29,8,12,0.667,3,7,0.429,1,2,0.5,0,1,1,2,1,1,2,2,20,13,1
22023,1630559,0022301177,"Apr 12, 2024",LAL @ MEM,W,25,5,8,0.625,3,5,0.6,0,1,0.0,0,0,0,1,0,2,2,5,13,-22,1
22023,1630559,0022301155,"Apr 09, 2024",LAL vs. GSW,L,35,8,15,0.533,4,7,0.571,2,3,0.667,3,4,7,6,0,0,0,3,22,0,1
22023,1630559,0022301143,"Apr 07, 2024",LAL vs. MIN,L,35,4,14,0.286,2,8,0.25,4,6,0.667,0,3,3,2,1,0,4,3,14,-17,1
22023,1630559,0022301127,"Apr 06, 2024",LAL vs. CLE,W,33,3,6,0.5,1,4,0.25,0,0,0.0,0,2,2,6,1,0,3,3,7,-6,1
22023,1630559,0022301103,"Apr 03, 2024",LAL @ WAS,W,35,7,15,0.467,2,6,0.333,0,0,0.0,2,2,4,4,2,0,1,1,16,7,1
22023,1630559,0022301094,"Apr 02, 2024",LAL @ TOR,W,25,2,9,0.222,1,5,0.2,2,2,1.0,1,3,4,6,0,3,1,2,7,6,1
22023,1630559,0022301078,"Mar 31, 2024",LAL @ BKN,W,35,5,11,0.455,0,4,0.0,2,2,1.0,1,6,7,6,1,0,1,0,12,26,1
22023,1630559,0022301063,"Mar 29, 2024",LAL @ IND,L,36,7,16,0.438,1,7,0.143,1,1,1.0,1,12,13,6,1,0,5,2,16,-15,1
22023,1630559,0022301055,"Mar 27, 2024",LAL @ MEM,W,35,4,12,0.333,0,4,0.0,5,5,1.0,1,1,2,11,0,0,2,1,13,31,1
