SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1626156,0022301195,"Apr 14, 2024",LAL @ NOP,W,38,6,13,0.462,5,10,0.5,2,2,1.0,0,1,1,4,1,1,0,2,19,24,1
22023,1626156,0022301177,"Apr 12, 2024",LAL @ MEM,W,35,2,9,0.222,0,5,0.0,0,0,0.0,0,3,3,10,1,1,2,3,4,1,1
22023,1626156,0022301155,"Apr 09, 2024",LAL vs. GSW,L,37,3,11,0.273,2,7,0.286,6,6,1.0,0,2,2,7,0,0,0,2,14,-11,1
22023,1626156,0022301143,"Apr 07, 2024",LAL vs. MIN,L,39,5,19,0.263,1,7,0.143,4,4,1.0,0,7,7,11,1,0,1,0,15,-3,1
22023,1626156,0022301127,"Apr 06, 2024",LAL vs. CLE,W,31,11,17,0.647,6,12,0.5,0,0,0.0,0,5,5,2,1,1,6,2,28,21,1
22023,1626156,0022301103,"Apr 03, 2024",LAL @ WAS,W,38,7,16,0.438,4,10,0.4,0,0,0.0,0,3,3,2,2,0,2,0,18,8,1
22023,1626156,0022301094,"Apr 02, 2024",LAL @ TOR,W,33,9,17,0.529,7,14,0.5,0,0,0.0,0,2,2,7,0,0,4,1,25,23,1
22023,1626156,0022301078,"Mar 31, 2024",LAL @ BKN,W,32,6,13,0.462,4,11,0.364,2,4,0.5,0,6,6,6,4,0,4,3,18,5,1
22023,1626156,0022301063,"Mar 29, 2024",LAL @ IND,L,35,3,14,0.214,0,6,0.0,0,0,0.0,0,3,3,5,1,1,0,3,6,-17,1
22023,1626156,0022301055,"Mar 27, 2024",LAL @ MEM,W,29,7,16,0.438,5,9,0.556,4,4,1.0,1,1,2,4,1,0,4,5,23,1,1
