SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,201950,0022301167,"Apr 11, 2024",BOS vs. NYK,L,29,3,7,0.429,1,4,0.25,0,0,0.0,1,4,5,1,1,2,2,2,7,-26,1
22023,201950,0022301148,"Apr 09, 2024",BOS @ MIL,L,32,5,13,0.385,2,6,0.333,0,0,0.0,3,4,7,5,1,1,2,0,12,-10,1
22023,201950,0022301134,"Apr 07, 2024",BOS vs. POR,W,21,5,8,0.625,2,3,0.667,0,0,0.0,0,1,1,2,0,0,0,1,12,7,1
22023,201950,0022301118,"Apr 05, 2024",BOS vs. SAC,W,31,5,8,0.625,0,2,0.0,0,0,0.0,1,3,4,7,0,0,1,0,10,-1,1
22023,201950,0022301105,"Apr 03, 2024",BOS vs. OKC,W,32,5,9,0.556,2,6,0.333,0,0,0.0,1,6,7,4,0,1,3,1,12,31,1
22023,201950,0022301087,"Apr 01, 2024",BOS @ CHA,W,30,1,11,0.091,0,8,0.0,0,0,0.0,1,4,5,2,0,0,1,2,2,6,1
22023,201950,0022301074,"Mar 30, 2024",BOS @ NOP,W,35,5,10,0.5,3,6,0.5,0,0,0.0,1,7,8,7,2,1,3,2,13,8,1
22023,201950,0022301060,"Mar 28, 2024",BOS @ ATL,L,37,5,11,0.455,3,6,0.5,0,0,0.0,1,6,7,5,1,1,0,1,13,-1,1
22023,201950,0022300980,"Mar 17, 2024",BOS @ WAS,W,22,3,7,0.429,1,2,0.5,0,0,0.0,0,1,1,3,1,2,3,2,7,17,1
22023,201950,0022300955,"Mar 14, 2024",BOS vs. PHX,W,33,3,5,0.6,3,5,0.6,0,0,0.0,0,0,0,10,2,2,0,1,9,26,1
