SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,203484,0022301193,"Apr 14, 2024",DEN @ MEM,W,25,5,6,0.833,1,2,0.5,0,1,0.0,0,4,4,3,0,1,2,1,11,23,1
22023,203484,0022301180,"Apr 12, 2024",DEN @ SAS,L,29,2,6,0.333,1,4,0.25,0,0,0.0,0,1,1,1,1,0,0,0,5,-7,1
22023,203484,0022301164,"Apr 10, 2024",DEN vs. MIN,W,26,4,9,0.444,1,5,0.2,0,0,0.0,1,2,3,1,0,1,0,4,9,-2,1
22023,203484,0022301154,"Apr 09, 2024",DEN @ UTA,W,29,3,5,0.6,0,2,0.0,0,0,0.0,1,1,2,4,0,1,1,3,6,18,1
22023,203484,0022301130,"Apr 06, 2024",DEN vs. ATL,W,28,9,12,0.75,6,9,0.667,0,0,0.0,0,2,2,1,2,0,2,2,24,21,1
22023,203484,0022301114,"Apr 04, 2024",DEN @ LAC,L,38,6,13,0.462,4,7,0.571,0,1,0.0,0,4,4,3,1,1,1,4,16,9,1
22023,203484,0022301099,"Apr 02, 2024",DEN vs. SAS,W,33,1,8,0.125,1,5,0.2,1,2,0.5,0,0,0,2,1,1,0,2,4,3,1
22023,203484,0022301077,"Mar 31, 2024",DEN vs. CLE,W,35,7,10,0.7,6,9,0.667,2,2,1.0,0,3,3,4,1,0,1,3,22,35,1
22023,203484,0022301071,"Mar 29, 2024",DEN vs. MIN,L,28,0,3,0.0,0,2,0.0,0,1,0.0,1,2,3,2,0,0,0,1,0,-15,1
22023,203484,0022301059,"Mar 27, 2024",DEN vs. PHX,L,36,5,9,0.556,3,6,0.5,0,0,0.0,2,4,6,6,2,1,2,4,13,11,1
