SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,202691,0022301198,"Apr 14, 2024",GSW vs. UTA,W,20,7,13,0.538,6,12,0.5,5,5,1.0,0,3,3,3,0,1,0,0,25,0,1
22023,202691,0022301182,"Apr 12, 2024",GSW vs. NOP,L,38,6,19,0.316,3,9,0.333,4,4,1.0,2,4,6,1,1,2,2,1,19,8,1
22023,202691,0022301155,"Apr 09, 2024",GSW @ LAL,W,33,10,16,0.625,5,10,0.5,2,2,1.0,0,0,0,3,1,1,2,2,27,11,1
22023,202691,0022301142,"Apr 07, 2024",GSW vs. UTA,W,28,12,23,0.522,6,13,0.462,2,2,1.0,0,5,5,4,1,0,1,1,32,10,1
22023,202691,0022301097,"Apr 05, 2024",GSW @ DAL,L,33,7,17,0.412,2,8,0.25,0,0,0.0,1,2,3,2,3,0,2,0,16,5,1
22023,202691,0022301113,"Apr 04, 2024",GSW @ HOU,W,29,11,15,0.733,7,11,0.636,0,0,0.0,0,3,3,4,0,0,3,3,29,20,1
22023,202691,0022300589,"Apr 02, 2024",GSW vs. DAL,W,28,5,14,0.357,2,8,0.25,2,2,1.0,0,3,3,2,1,0,2,3,14,-4,1
22023,202691,0022301085,"Mar 31, 2024",GSW @ SAS,W,29,5,13,0.385,2,8,0.25,1,1,1.0,0,2,2,3,2,0,2,0,13,-3,1
22023,202691,0022301049,"Mar 27, 2024",GSW @ ORL,W,32,6,13,0.462,3,8,0.375,0,0,0.0,0,0,0,2,0,0,3,2,15,5,1
22023,202691,0022301044,"Mar 26, 2024",GSW @ MIA,W,31,11,20,0.55,6,14,0.429,0,0,0.0,1,4,5,2,0,1,1,1,28,25,1
