SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,204001,0022301167,"Apr 11, 2024",BOS vs. NYK,L,25,5,12,0.417,2,5,0.4,2,2,1.0,2,6,8,1,0,2,1,2,14,-14,1
22023,204001,0022301134,"Apr 07, 2024",BOS vs. POR,W,27,3,7,0.429,1,3,0.333,5,8,0.625,1,9,10,2,3,5,2,1,12,4,1
22023,204001,0022301118,"Apr 05, 2024",BOS vs. SAC,W,24,7,10,0.7,2,2,1.0,4,4,1.0,1,10,11,2,2,1,1,3,20,0,1
22023,204001,0022301105,"Apr 03, 2024",BOS vs. OKC,W,31,11,14,0.786,3,3,1.0,2,2,1.0,3,9,12,4,1,5,0,3,27,19,1
22023,204001,0022301087,"Apr 01, 2024",BOS @ CHA,W,30,6,10,0.6,1,3,0.333,7,8,0.875,2,5,7,5,0,1,1,1,20,11,1
22023,204001,0022301074,"Mar 30, 2024",BOS @ NOP,W,31,6,14,0.429,1,6,0.167,6,6,1.0,0,10,10,3,2,4,2,4,19,12,1
22023,204001,0022301060,"Mar 28, 2024",BOS @ ATL,L,41,8,20,0.4,2,7,0.286,2,3,0.667,2,5,7,2,1,3,3,3,20,-4,1
22023,204001,0022301034,"Mar 25, 2024",BOS @ ATL,L,34,7,14,0.5,1,4,0.25,2,2,1.0,5,0,5,2,0,3,3,3,17,-7,1
22023,204001,0022301011,"Mar 22, 2024",BOS @ DET,W,26,7,15,0.467,2,6,0.333,3,4,0.75,2,2,4,1,3,2,0,5,19,22,1
22023,204001,0022300998,"Mar 20, 2024",BOS vs. MIL,W,28,6,16,0.375,0,5,0.0,5,6,0.833,3,0,3,2,0,0,2,3,17,-8,1
