SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1629008,0022301193,"Apr 14, 2024",DEN @ MEM,W,24,5,12,0.417,2,8,0.25,0,0,0.0,0,5,5,4,0,2,2,0,12,27,1
22023,1629008,0022301180,"Apr 12, 2024",DEN @ SAS,L,29,5,14,0.357,1,5,0.2,3,3,1.0,0,3,3,0,0,0,1,2,14,-7,1
22023,1629008,0022301164,"Apr 10, 2024",DEN vs. MIN,W,37,7,14,0.5,2,4,0.5,2,2,1.0,3,5,8,2,0,0,1,2,18,7,1
22023,1629008,0022301154,"Apr 09, 2024",DEN @ UTA,W,29,5,13,0.385,2,7,0.286,0,0,0.0,1,4,5,0,1,1,0,1,12,15,1
22023,1629008,0022301130,"Apr 06, 2024",DEN vs. ATL,W,25,7,12,0.583,4,8,0.5,2,2,1.0,1,2,3,2,1,0,1,4,20,15,1
22023,1629008,0022301114,"Apr 04, 2024",DEN @ LAC,L,38,6,18,0.333,2,10,0.2,0,0,0.0,1,8,9,1,0,1,2,4,14,-3,1
22023,1629008,0022301099,"Apr 02, 2024",DEN vs. SAS,W,35,5,16,0.313,3,8,0.375,2,3,0.667,2,14,16,3,1,1,1,1,15,-3,1
22023,1629008,0022301077,"Mar 31, 2024",DEN vs. CLE,W,29,8,16,0.5,3,5,0.6,0,0,0.0,0,6,6,0,0,0,2,1,19,18,1
22023,1629008,0022301071,"Mar 29, 2024",DEN vs. MIN,L,36,5,10,0.5,2,5,0.4,2,2,1.0,1,5,6,4,1,0,0,2,14,-7,1
22023,1629008,0022301059,"Mar 27, 2024",DEN vs. PHX,L,33,7,16,0.438,2,7,0.286,2,2,1.0,1,7,8,0,2,0,2,0,18,4,1
