SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1629060,0022301195,"Apr 14, 2024",LAL @ NOP,W,34,5,10,0.5,1,4,0.25,0,0,0.0,1,6,7,4,2,0,1,1,11,10,1
22023,1629060,0022301177,"Apr 12, 2024",LAL @ MEM,W,29,5,6,0.833,2,3,0.667,2,2,1.0,2,3,5,1,1,0,1,1,14,-17,1
22023,1629060,0022301155,"Apr 09, 2024",LAL vs. GSW,L,31,7,21,0.333,2,7,0.286,4,4,1.0,2,9,11,2,1,2,0,0,20,-6,1
22023,1629060,0022301143,"Apr 07, 2024",LAL vs. MIN,L,36,11,17,0.647,4,5,0.8,4,4,1.0,2,4,6,1,0,0,0,3,30,1,1
22023,1629060,0022301127,"Apr 06, 2024",LAL vs. CLE,W,27,3,9,0.333,1,5,0.2,0,2,0.0,0,5,5,0,0,1,1,0,7,-7,1
22023,1629060,0022301103,"Apr 03, 2024",LAL @ WAS,W,27,9,12,0.75,1,2,0.5,0,1,0.0,2,5,7,1,0,1,2,2,19,21,1
22023,1629060,0022301094,"Apr 02, 2024",LAL @ TOR,W,26,6,9,0.667,2,4,0.5,0,0,0.0,1,3,4,4,1,0,0,1,14,6,1
22023,1629060,0022301078,"Mar 31, 2024",LAL @ BKN,W,37,8,12,0.667,1,4,0.25,3,4,0.75,2,8,10,4,0,1,0,3,20,9,1
22023,1629060,0022301063,"Mar 29, 2024",LAL @ IND,L,31,5,10,0.5,2,4,0.5,2,2,1.0,0,0,0,0,0,0,0,2,14,-15,1
22023,1629060,0022301055,"Mar 27, 2024",LAL @ MEM,W,36,11,14,0.786,7,8,0.875,3,4,0.75,0,10,10,1,0,2,0,1,32,35,1
